000324,SANYO Consumer Electronics Co.
000325,Arima Computer Corp.
000326,Iwasaki Information Systems Co.
000327,ACT'L
000328,Mace Group
000329,F3
00032A,UniData Communication Systems
00032B,GAI Datenfunksysteme GmbH
00032C,ABB Switzerland Ltd
00032D,IBASE Technology
00032E,Scope Information Management
00032F,Global Sun Technology
000330,Imagenics
000331,Cisco Systems
000332,Cisco Systems
000333,Digitel Co.
000334,Newport Electronics
000335,Mirae Technology
000336,Zetes Technologies
000337,Vaone
000338,Oak Technology
000339,Eurologic Systems
00033A,Silicon Wave
00033B,TAMI Tech Co.
00033C,Daiden Co.
00033D,ILSHin Lab
00033E,Tateyama System Laboratory Co.
00033F,BigBand Networks
000340,Floware Wireless Systems
000341,Axon Digital Design
000342,Nortel Networks
000343,Martin Professional A/S
000344,Tietech.Co.
000345,Routrek Networks Corporation
000346,Hitachi Kokusai Electric
000347,Intel Corporation
000348,Norscan Instruments
000349,Vidicode Datacommunicatie B.V.
00034A,RIAS Corporation
00034B,Nortel Networks
00034C,Shanghai DigiVision Technology Co.
00034D,Chiaro Networks
00034E,Pos Data Company
00034F,Sur-Gard Security
000350,BTICINO SPA
000351,Diebold
000352,Colubris Networks
000353,Mitac
000354,Fiber Logic Communications
000355,TeraBeam Internet Systems
000356,Wincor Nixdorf International GmbH
000357,Intervoice-Brite
000358,Hanyang Digitech Co.Ltd
000359,DigitalSis
00035A,Photron Limited
00035B,BridgeWave Communications
00035C,Saint Song Corp.
00035D,Bosung Hi-Net Co.
00035E,Metropolitan Area Networks
00035F,Prüftechnik Condition Monitoring GmbH & Co. KG
000360,PAC Interactive Technology
000361,Widcomm
000362,Vodtel Communications
000363,Miraesys Co.
000364,Scenix Semiconductor
000365,Kira Information & Communications
000366,ASM Pacific Technology
000367,Jasmine Networks
000368,Embedone Co.
000369,Nippon Antenna Co.
00036A,Mainnet
00036B,Cisco Systems
00036C,Cisco Systems
00036D,Runtop
00036E,Nicon Systems (Pty) Limited
00036F,Telsey SPA
000370,NXTV
000371,Acomz Networks Corp.
000372,Ulan
000373,Aselsan A.S
000374,Control Microsystems
000375,NetMedia
000376,Graphtec Technology
000377,Gigabit Wireless
000378,HUMAX Co.
000379,Proscend Communications
00037A,Taiyo Yuden Co.
00037B,IDEC IZUMI Corporation
00037C,Coax Media
00037D,Stellcom
00037E,PORTech Communications
00037F,Atheros Communications
000380,SSH Communications Security Corp.
000381,Ingenico International
000382,A-One Co.
000383,Metera Networks
000384,Aeta
000385,Actelis Networks
000386,Ho Net
000387,Blaze Network Products
000388,Fastfame Technology Co.
000389,PLANTRONICS
00038A,America Online
00038B,PLUS-ONE I&T
00038C,Total Impact
00038D,PCS Revenue Control Systems
00038E,Atoga Systems
00038F,Weinschel Corporation
000390,Digital Video Communications
000391,Advanced Digital Broadcast
000392,Hyundai Teletek Co.
000393,Apple
000394,Connect One
000395,California Amplifier
000396,EZ Cast Co.
000397,Watchfront Limited
000398,Wisi
000399,Dongju Informations & Communications Co.
00039A,SiConnect
00039B,NetChip Technology
00039C,OptiMight Communications
00039D,Qisda Corporation
00039E,Tera System Co.
00039F,Cisco Systems
0003A0,Cisco Systems
0003A1,HIPER Information & Communication
0003A2,Catapult Communications
0003A3,MAVIX
0003A4,Imation Corp.
0003A5,Medea Corporation
0003A6,Traxit Technology
0003A7,Unixtar Technology
0003A8,IDOT Computers
0003A9,AXCENT Media AG
0003AA,Watlow
0003AB,Bridge Information Systems
0003AC,Fronius Schweissmaschinen
0003AD,Emerson Energy Systems AB
0003AE,Allied Advanced Manufacturing Pte
0003AF,Paragea Communications
0003B0,Xsense Technology Corp.
0003B1,Hospira Inc.
0003B2,Radware
0003B3,IA Link Systems Co.
0003B4,Macrotek International Corp.
0003B5,Entra Technology Co.
0003B6,QSI Corporation
0003B7,ZACCESS Systems
0003B8,NetKit Solutions
0003B9,Hualong Telecom Co.
0003BA,Oracle Corporation
0003BB,Signal Communications Limited
0003BC,COT GmbH
0003BD,OmniCluster Technologies
0003BE,Netility
0003BF,Centerpoint Broadband Technologies
0003C0,RFTNC Co.
0003C1,Packet Dynamics Ltd
0003C2,Solphone K.K.
0003C3,Micronik Multimedia
0003C4,Tomra Systems ASA
0003C5,Mobotix AG
0003C6,Morning Star Technologies Inc
0003C7,hopf Elektronik GmbH
0003C8,CML Emergency Services
0003C9,TECOM Co.
0003CA,MTS Systems Corp.
0003CB,Nippon Systems Development Co.
0003CC,Momentum Computer
0003CD,Clovertech
0003CE,ETEN Technologies
0003CF,Muxcom
